"Name","Observer","Set","LM1_x","LM1_y","LM1_z","LM2_x","LM2_y","LM2_z","LM3_x","LM3_y","LM3_z"
"Model 1","1","Set A",13.8130107836533,7.21179131098692,-111.736561600969,10.8297504007155,-11.3968633488594,-112.94896476061,9.02263946744581,7.79721981447397,-117.794098707886
"Model 1","1","Set B",13.8655619706235,7.22305368311427,-112.030637224209,10.8621720448431,-11.4606346533698,-113.031822313902,8.70187029912697,7.71529826256792,-117.911396071285
"Model 1","1","Set C",14.9312397469778,7.79210648809603,-111.936569178983,10.1414186513782,-11.4454800316899,-112.886219563731,8.51122497090297,7.55602538017738,-117.757811223032
"Model 1","1","Set D",15.0406302072348,7.82819453206728,-111.7331912926,10.0947779402292,-11.3024901264356,-112.710432836203,8.92778262295354,7.88205675814666,-118.119121968598
"Model 1","1","Set E",15.5783346525958,8.03524494515242,-111.875389265239,9.57438125718848,-11.1461984262667,-112.628195475483,9.11571020044634,7.93622959527548,-118.67338323363
"Model 1","1","Set average",14.645755472217,7.61807819188338,-111.8624697124,10.3005000588709,-11.3503333173243,-112.841126989986,8.85584551217513,7.77736596212828,-118.051162240886
"Model 1","2","Set A",13.3003121649211,6.75137232325696,-112.637946944775,11.6243465608682,-11.1588353520212,-112.622610141873,9.35851829620418,8.10253845345941,-118.535858640874
"Model 2","1","Set A",14.1527134781318,6.94465655961026,-132.945431412678,9.09253710123741,-12.7139990164407,-134.003769981294,8.27518807752556,5.8953786814873,-137.630392035305
"Model 2","1","Set B",13.9085451407705,6.62767142959792,-133.147917979825,8.7005633585385,-13.2418631576977,-134.187038111731,7.37106946500478,5.45300812750454,-137.876402424493
"Model 2","1","Set C",13.8539796003456,6.52348071817779,-133.117691645923,9.47122518838795,-13.73279170842,-134.668543761551,7.35530435031983,5.43349998843849,-137.845161222485
"Model 2","1","Set D",14.0795752420365,6.86857714826338,-132.994271811191,8.87964787935614,-13.373549246534,-134.285647760838,7.81626163068698,5.57521889565494,-137.574635383975
"Model 2","1","Set E",13.9718934542028,6.63747472772475,-132.818165877561,9.16735947549726,-13.5736896581012,-134.460966264387,7.65793132771589,5.51544929715164,-137.656601685671
"Model 2","1","Set average",13.9933413830975,6.72037211667482,-133.004695745435,9.06226660060345,-13.3271785574387,-134.32119317596,7.69515097025061,5.57451099804738,-137.716638550386
"Model 2","2","Set A",13.8663696487866,6.58301754938241,-133.20296621218,10.22756897519,-14.09855752473,-135.581125353634,8.36484467403329,6.3103116227777,-138.705835345429
"Model 3","1","Set A",17.516505671822,5.61167226559238,-126.106564384807,11.318088949078,-11.4829384684151,-127.526972861321,13.9787147203032,5.17892351287651,-129.362685951253
"Model 3","1","Set B",17.4682158479274,5.54468361548325,-126.196575970141,11.5527035659948,-11.689207259834,-127.680679247294,13.9934708686605,5.22150360196374,-129.393546459329
"Model 3","1","Set C",17.2551307838144,5.36813301760541,-125.931925589079,11.4934200707249,-11.4462266210903,-127.487792969314,13.7163584931943,5.29472930260224,-129.672502023951
"Model 3","1","Set D",17.4114478601088,5.45976680302399,-126.397184597377,11.2176645471778,-11.3342363204978,-127.358376366994,14.1287480505948,5.19800673656016,-129.340213004804
"Model 3","1","Set E",17.7804833502544,5.76069825704337,-126.870841521514,10.8763077040629,-11.0164956785304,-127.299502764231,14.0989751017381,5.04276378106394,-129.159572239057
"Model 3","1","Set average",17.4863567027854,5.54899079174968,-126.300618412584,11.2916369674077,-11.3938208696735,-127.470664841831,13.9832534468982,5.18718538701332,-129.385703935679
"Model 3","2","Set A",17.246275680856,5.33642105171928,-125.982032745484,11.3508552433818,-11.4204410885516,-127.437654504608,10.6544926733231,4.83637513495745,-132.630999301866
"Model 4","1","Set A",7.51790207573667,-0.927948795134158,-183.716633740186,9.33219874815713,-23.6926017577112,-179.849868295317,1.28173288250527,-3.10591157140714,-190.30498080157
"Model 4","1","Set B",7.81909590029016,-0.641823372420143,-183.9263118388,9.70054651990869,-23.2502895336809,-179.836996953662,1.26455307843087,-2.9947719015554,-190.832062888521
"Model 4","1","Set C",7.48193538118972,-0.928991929632022,-183.411956241558,9.63454172629756,-23.5541018175416,-179.894648257686,0.972230182416469,-3.21068672827046,-190.533319331868
"Model 4","1","Set D",7.80300742112234,-0.567150600188585,-183.507592422651,9.45982074402693,-23.894214227242,-180.013079706142,1.10742696019534,-3.04213691353339,-191.041921841835
"Model 4","1","Set E",8.00417293790824,-0.280221270735423,-183.43455057962,9.68541285575083,-23.9230273727666,-180.11620474411,0.820026104085482,-3.30947120407143,-190.383396915773
"Model 4","1","Set average",7.72522274324943,-0.669227193622066,-183.599408964563,9.56250411882823,-23.6628469417884,-179.942159591383,1.08919384152669,-3.13259566376756,-190.619136355913
"Model 4","2","Set A",7.5338569306286,-0.817018653725301,-183.157474573062,9.01674432441191,-23.6847690449551,-179.751980356922,0.0826854421791383,-4.0436203678396,-190.009318783772
"Model 5","1","Set A",10.3444113317177,7.6197963152059,-124.102546667184,7.772634706588,-8.64192485207074,-126.405633295562,6.04603738638882,8.17045254941783,-129.139020194457
"Model 5","1","Set B",10.8368278452012,8.03045562024133,-124.335905125123,8.03376688795453,-8.63813602580027,-126.380360798263,6.31743350923481,8.24496891367637,-128.993422247769
"Model 5","1","Set C",10.2864366255389,7.53673942332864,-124.223411373748,8.63842498836346,-9.04405338755154,-127.098505358916,6.27904301050725,8.32978869592521,-129.177897971983
"Model 5","1","Set D",10.5726083939186,7.81598330582575,-124.335921818502,7.89908530313847,-8.60778603452402,-126.354590828617,6.28099761033605,8.31873319915865,-129.152318782289
"Model 5","1","Set E",10.389481353431,7.66207705079362,-124.217281436101,7.89524005047047,-8.59532699381643,-126.3399310036,6.34812227958439,8.2672434795848,-129.010117151021
"Model 5","1","Set average",10.4859531099615,7.73301034307905,-124.243013284132,8.04783038730299,-8.7054454587526,-126.515804256991,6.25432675921026,8.26623736755257,-129.094555269504
"Model 5","2","Set A",11.2824398073059,8.25560972160181,-124.47389247922,8.22151292045924,-9.06250505430552,-126.947341418395,5.4775693400559,8.23785582971458,-130.138529260132
"Model 6","1","Set A",15.101586798248,8.64050616178131,-128.333399977562,11.6351020937514,-12.606386231872,-130.997195260767,9.6847561798936,7.25912908295807,-132.398381153291
"Model 6","1","Set B",16.6027757616857,9.25785107962798,-126.401592775711,11.0007189767472,-12.1009365793798,-130.424093073724,9.43529308188355,7.27064121890662,-132.690558780749
