Name,Obs1_SetA,Obs1_SetB,Obs1_SetC,Obs1_SetD,Obs1_SetE,Obs2_SetA
Model 1,796.930786184392,777.04937399198,742.584630816262,759.05822204084,752.138803841354,799.388394983346
Model 2,520.958458597498,513.318660588704,498.87437267213,513.195428667395,514.898507224711,519.779235631915
Model 3,610.146593802644,602.18394783192,627.767484309459,604.884733302593,569.169463128449,636.695449496889
Model 4,1033.79348380876,1009.40234803858,1039.26013975972,1038.4573370506,1007.35736057136,1038.54961390786
Model 5,610.036741457065,581.791153351044,603.926966296284,595.715787476461,606.054582610632,567.180480559884
Model 6,816.472714954388,859.052445792554,839.206774602164,815.984829542132,848.027207051884,903.712564914425
Model 7,1044.22053492188,1006.08405971844,1026.87421594062,1040.29092104833,1007.11823162043,1044.68701709083
Model 8,769.124369550153,748.735977113346,807.521508964695,735.901708470622,757.305519588591,823.404173416617
Model 9,988.524482536273,876.775706726756,956.106620824652,889.592612887127,916.321534403172,1002.12870041349
Model 10,965.432142056113,982.162845906642,987.483100241121,971.390974834126,947.982284043507,1007.90306329387
Model 11,663.472334416893,643.251121127842,700.900144445077,644.865764172627,667.875092842012,736.475672254009
Model 12,800.450387074594,772.22055600411,832.273219648265,839.4041547589,814.360633254116,854.275151297068
Model 13,947.690839882387,1020.02348554164,1040.15838447371,990.662630219014,1043.70106561113,1062.54268879371
Model 14,605.180613978691,624.632162544371,632.961044249044,662.098985419855,644.76945486747,655.131143873941
Model 15,1025.2097071009,986.934470110861,1006.11649252354,1026.89756662866,1010.10725613589,1034.39698464277
Model 16,906.688082235232,899.940831020259,918.920833293817,907.444998207764,867.385708753642,945.770896300847
Model 17,888.96869145666,880.221623901046,911.404531389363,914.574297348886,897.620744759807,863.737886597584
Model 18,825.326208433734,887.883283271694,869.611517486261,878.388575817771,920.273482827959,919.237335528403
Model 19,704.667050095471,724.492421788154,777.472565975503,761.137608034643,727.636425431477,751.627330453758
Model 20,737.023119017465,744.017223942454,752.302187605257,767.318095559437,745.764155884643,NA
